,model_name,ic_loss,oc_loss,whole_loss,ic_acc,oc_acc,whole_acc
3,layer03-kitchen-model-CustomLayer,1.7395044753277147,2.3489892283283855,2.3229083587862824,0.5510083038541063,0.492550630810093,0.4932513617430311
2,layer06-kitchen-model-CustomLayer,1.7765981484986708,2.2401420851627667,2.2227855314623275,0.5527876627544208,0.4993774900398406,0.5042654597885293
1,layer10-kitchen-model-CustomLayer,1.5835736592610676,2.1275356203753,2.1067164956434765,0.5763888888888888,0.5220991035856574,0.5251321691765459
4,layer14-kitchen-model-CustomLayer,1.4383178178667315,2.2391953788113943,2.2116535321828152,0.6215895608085189,0.49163761620185925,0.4967758731175905
5,layer18-kitchen-model-CustomLayer,1.2347127432500764,2.715598918052309,2.6640054888543467,0.6749703442923115,0.42056772908366535,0.4291893623838513
0,layer20-kitchen-model-CustomLayer,1.1977045006222196,2.2189687868830057,2.1860267152859523,0.6840277777777778,0.5224518592297477,0.5281890204865557
6,layer21-kitchen-model-CustomLayer,1.1606449863098978,1.9181790378780796,1.893678120564513,0.6826809014007007,0.5772742363877822,0.5788809676385773
