,model_name,ic_loss,oc_loss,whole_loss,ic_acc,oc_acc,whole_acc
0,layer03-canidae-model-CustomLayer,1.2007823091745378,2.089219133468235,1.9743370901454578,0.66046875,0.551907169117647,0.5660211267605634
6,layer06-canidae-model-CustomLayer,1.1658828836679458,1.8747104416875278,1.782421507846083,0.67296875,0.5829733455882353,0.5948013457225249
5,layer10-canidae-model-CustomLayer,1.1243800389766694,1.7204781314905953,1.642896309146435,0.68390625,0.6036764705882353,0.6141661326497917
1,layer14-canidae-model-CustomLayer,1.1032363229990005,1.7988340297166039,1.708694599561682,0.685625,0.5889935661764706,0.6013697532842038
4,layer18-canidae-model-CustomLayer,1.1052494406700135,1.9264151276911006,1.8212855670437604,0.683125,0.5721966911764705,0.5864506568407561
3,layer20-canidae-model-CustomLayer,1.130366064310074,2.1038188581957535,1.9776015830169844,0.68109375,0.5741268382352941,0.5879325536686959
2,layer21-canidae-model-CustomLayer,1.1374650549888612,1.7154772063388544,1.6416321638798492,0.68578125,0.6166590073529412,0.62534043575777
