,model_name,ic_loss,oc_loss,whole_loss,ic_acc,oc_acc,whole_acc
0,layer20-kitchen-model-CustomLayer,1.2415507479950234,2.111338156944569,2.0836973381103534,0.6707175925925926,0.5339267928286853,0.5389524647887324
1,layer10-kitchen-model-CustomLayer,1.601711008283827,2.126165606744419,2.1067552089843944,0.5787037037037037,0.5183017928286853,0.5224887856456264
2,layer3-kitchen-model-CustomLayer,1.732482750927709,2.5232759084042957,2.4876655122096323,0.5403321471644184,0.46557519920318724,0.4699815764178148
3,layer14-kitchen-model-CustomLayer,1.3423239547021306,2.216004227420407,2.1821870819111355,0.6429418742586003,0.500601759628154,0.506488305030439
4,layer18-kitchen-model-CustomLayer,1.2654198215808168,2.7977797307499537,2.7439449859406464,0.6666666663838451,0.40156042496679945,0.41054549823774433
5,layer6-kitchen-model-CustomLayer,1.7779616015661655,2.2437098053188755,2.2292105228004835,0.5539739027990566,0.5045650730411687,0.5036646908042294
6,layer21-kitchen-model-CustomLayer,1.182544555669719,1.8579148587635947,1.8361458949498815,0.6779359429190874,0.5848481075697212,0.5866108619032362
