,model_name,ic_loss,oc_loss,whole_loss,ic_acc,oc_acc,whole_acc
0,layer14-canidae-model-CustomLayer,1.108503925204277,1.7502809955793268,1.6683078679171475,0.6871875,0.5985753676470589,0.6080745838668374
1,layer6-canidae-model-CustomLayer,1.1683257114887238,1.8478877916055567,1.7554934703933243,0.674375,0.5839154411764705,0.5946411406600448
2,layer21-canidae-model-CustomLayer,1.1326566314697266,1.7164826729718377,1.6410743338448313,0.68578125,0.6165211397058824,0.6258611022108299
3,layer20-canidae-model-CustomLayer,1.124570540189743,2.1068763703107836,1.9789392283542613,0.68359375,0.5735753676470589,0.5876722204421659
4,layer3-canidae-model-CustomLayer,1.204299653172493,2.07009916621096,1.9611276992044935,0.65484375,0.555514705882353,0.568127202819609
5,layer18-canidae-model-CustomLayer,1.1139326775074005,1.9242132718072218,1.8202501425029605,0.68546875,0.5745174632352941,0.5873317846843961
6,layer10-canidae-model-CustomLayer,1.12082089304924,1.7237366178456475,1.64673913199334,0.68421875,0.6015395220588236,0.6129445690483819
